,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
171,Tyler Conklin,MIN,TE,26,17,15,87.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,3.0,77.0,0.0,1.0,0.0
172,Deonte Harris,NOR,WR,24,13,1,59.0,36.0,0.0,0.0,0.0,41.0,0.0,5.0,570.0,3.0,77.0,0.0,2.0,1.0
173,Donovan Peoples-Jones,CLE,WR,22,14,9,58.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,3.0,76.0,0.0,2.0,1.0
174,Braxton Berrios+,NYJ,WR,26,16,1,65.0,46.0,0.0,0.0,0.0,40.0,2.0,7.0,431.0,2.0,75.0,0.0,1.0,1.0
175,Bryan Edwards,LVR,WR,23,16,12,59.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,571.0,3.0,75.0,0.0,1.0,0.0
176,Kenyan Drake,LVR,RB,27,12,2,40.0,30.0,0.0,0.0,0.0,254.0,2.0,63.0,291.0,1.0,73.0,0.0,1.0,0.0
177,Nyheim Hines,IND,RB,25,17,4,57.0,40.0,0.0,0.0,0.0,276.0,2.0,56.0,310.0,1.0,73.0,0.0,3.0,2.0
178,Quez Watkins,PHI,WR,23,17,12,62.0,43.0,0.0,0.0,0.0,3.0,0.0,1.0,647.0,1.0,73.0,0.0,0.0,0.0
179,Jacoby Brissett,MIA,QB,29,11,5,0.0,0.0,1283.0,5.0,225.0,70.0,1.0,19.0,0.0,0.0,72.0,4.0,6.0,3.0
180,David Njoku,CLE,TE,25,16,11,53.0,36.0,0.0,0.0,0.0,1.0,0.0,1.0,475.0,4.0,72.0,0.0,0.0,0.0
181,Corey Davis,NYJ,WR,26,9,9,59.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,4.0,71.0,0.0,2.0,1.0
182,Gerald Everett,SEA,TE,27,15,12,63.0,48.0,0.0,0.0,0.0,20.0,0.0,3.0,478.0,4.0,70.0,0.0,2.0,2.0
183,Nick Westbrook-Ikhine,TEN,WR,24,16,7,57.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,4.0,70.0,0.0,1.0,1.0
184,Ronald Jones II,TAM,RB,24,16,3,13.0,10.0,0.0,0.0,0.0,428.0,4.0,101.0,64.0,0.0,69.0,0.0,2.0,2.0
185,Nelson Agholor,NWE,WR,28,15,13,64.0,37.0,0.0,0.0,0.0,11.0,0.0,3.0,473.0,3.0,66.0,0.0,0.0,0.0
186,Randall Cobb,GNB,WR,31,12,3,39.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,375.0,5.0,66.0,0.0,1.0,1.0
187,Jalen Guyton,LAC,WR,24,16,2,48.0,31.0,0.0,0.0,0.0,34.0,0.0,7.0,448.0,3.0,66.0,0.0,1.0,0.0
188,Khalil Herbert,CHI,RB,23,17,2,16.0,14.0,0.0,0.0,0.0,433.0,2.0,103.0,96.0,0.0,65.0,0.0,1.0,0.0
189,Trey Lance,SFO,QB,21,6,2,0.0,0.0,603.0,5.0,71.0,168.0,1.0,38.0,0.0,0.0,65.0,2.0,0.0,0.0
190,Justin Jackson,LAC,RB,25,14,2,25.0,22.0,0.0,0.0,0.0,364.0,2.0,68.0,178.0,0.0,64.0,0.0,1.0,1.0
191,DeVante Parker,MIA,WR,28,10,8,73.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,2.0,64.0,0.0,0.0,0.0
192,Laviska Shenault Jr.,JAX,WR,23,16,10,100.0,63.0,0.0,0.0,0.0,41.0,0.0,11.0,619.0,0.0,64.0,0.0,1.0,1.0
193,DeAndre Carter,WAS,WR,28,17,6,44.0,24.0,0.0,0.0,0.0,89.0,0.0,10.0,296.0,3.0,63.0,0.0,3.0,0.0
194,Freddie Swain,SEA,WR,23,17,8,40.0,25.0,0.0,0.0,0.0,32.0,0.0,5.0,343.0,4.0,62.0,0.0,1.0,0.0
195,Jordan Howard,PHI,RB,27,7,0,5.0,2.0,0.0,0.0,0.0,406.0,3.0,86.0,19.0,0.0,61.0,0.0,0.0,0.0
196,Cole Kmet,CHI,TE,22,17,17,93.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,612.0,0.0,61.0,0.0,0.0,0.0
197,Henry Ruggs III,LVR,WR,22,7,7,36.0,24.0,0.0,0.0,0.0,16.0,0.0,3.0,469.0,2.0,61.0,0.0,0.0,0.0
198,Marquez Valdes-Scantling,GNB,WR,27,11,7,55.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,3.0,61.0,0.0,0.0,0.0
199,Alex Collins,SEA,RB,27,11,6,10.0,9.0,0.0,0.0,0.0,411.0,2.0,108.0,87.0,0.0,60.0,0.0,1.0,1.0
200,Josh Palmer,LAC,WR,23,17,5,49.0,33.0,0.0,0.0,0.0,6.0,0.0,1.0,353.0,4.0,60.0,0.0,0.0,0.0
201,Jamison Crowder,NYJ,WR,28,12,4,71.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,2.0,59.0,0.0,1.0,1.0
202,Zay Jones,LVR,WR,26,17,9,70.0,47.0,0.0,0.0,0.0,3.0,0.0,2.0,546.0,1.0,59.0,0.0,1.0,1.0
203,Olamide Zaccheaus,ATL,WR,24,17,8,53.0,31.0,0.0,0.0,0.0,2.0,0.0,1.0,406.0,3.0,59.0,0.0,0.0,0.0
204,Rashod Bateman,BAL,WR,22,12,4,68.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,1.0,58.0,0.0,0.0,0.0
205,Jauan Jennings,SFO,WR,24,16,1,38.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,5.0,58.0,0.0,1.0,0.0
206,Evan Engram,NYG,TE,27,15,12,73.0,46.0,0.0,0.0,0.0,-3.0,0.0,1.0,408.0,3.0,57.0,0.0,1.0,1.0
207,Michael Gallup,DAL,WR,25,9,8,62.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,2.0,57.0,0.0,0.0,0.0
208,Zach Pascal,IND,WR,27,16,13,69.0,38.0,0.0,0.0,0.0,21.0,0.0,2.0,384.0,3.0,57.0,0.0,1.0,1.0
209,Mo Alie-Cox,IND,TE,28,17,7,45.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,4.0,56.0,0.0,1.0,0.0
210,DeSean Jackson,2TM,WR,35,16,4,34.0,20.0,0.0,0.0,0.0,4.0,0.0,1.0,454.0,2.0,56.0,0.0,1.0,1.0
211,Samaje Perine,CIN,RB,26,16,0,31.0,27.0,0.0,0.0,0.0,246.0,1.0,55.0,196.0,1.0,56.0,0.0,0.0,0.0
212,Tre'Quan Smith,NOR,WR,25,11,6,50.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,3.0,56.0,0.0,1.0,0.0
213,Austin Hooper,CLE,TE,27,16,16,61.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,3.0,55.0,0.0,0.0,0.0
214,Duke Johnson,MIA,RB,28,5,4,5.0,4.0,0.0,0.0,0.0,330.0,3.0,71.0,41.0,0.0,55.0,0.0,0.0,0.0
215,Rondale Moore,ARI,WR,21,14,7,64.0,54.0,0.0,0.0,0.0,76.0,0.0,18.0,435.0,1.0,55.0,0.0,3.0,1.0
216,Foster Moreau,LVR,TE,24,17,11,44.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,3.0,55.0,0.0,1.0,0.0
217,Dontrell Hilliard,TEN,RB,26,8,5,26.0,19.0,0.0,0.0,0.0,350.0,2.0,56.0,87.0,0.0,54.0,0.0,2.0,1.0
218,Geno Smith,SEA,QB,31,4,3,0.0,0.0,702.0,5.0,95.0,42.0,1.0,9.0,0.0,0.0,54.0,1.0,1.0,1.0
219,Ameer Abdullah,2TM,RB,28,17,1,53.0,38.0,0.0,0.0,0.0,166.0,0.0,51.0,289.0,1.0,52.0,0.0,0.0,0.0
220,Jamal Agnew,JAX,WR,26,10,2,39.0,24.0,0.0,0.0,0.0,111.0,1.0,7.0,229.0,1.0,52.0,0.0,1.0,0.0
221,Kenny Golladay,NYG,WR,28,14,14,76.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,52.0,0.0,0.0,0.0
222,Josh Reynolds,2TM,WR,26,12,5,49.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,2.0,52.0,0.0,0.0,0.0
223,Keelan Cole,NYJ,WR,28,15,11,51.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,449.0,1.0,51.0,0.0,0.0,0.0
224,Nico Collins,HOU,WR,22,14,8,60.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,1.0,51.0,0.0,0.0,0.0
225,T.Y. Hilton,IND,WR,32,10,9,37.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,3.0,51.0,0.0,0.0,0.0
226,Drew Lock,DEN,QB,25,6,3,1.0,1.0,787.0,2.0,111.0,53.0,2.0,10.0,1.0,0.0,51.0,2.0,2.0,1.0
227,Jack Doyle,IND,TE,31,17,14,43.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,3.0,50.0,0.0,0.0,0.0
228,Devin Duvernay*+,BAL,WR,24,16,7,47.0,33.0,0.0,0.0,0.0,50.0,0.0,7.0,272.0,2.0,50.0,0.0,1.0,0.0
229,Cameron Brate,TAM,TE,30,17,3,57.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,4.0,49.0,0.0,0.0,0.0
230,David Johnson,HOU,RB,30,13,4,42.0,32.0,0.0,0.0,0.0,228.0,0.0,67.0,225.0,1.0,49.0,0.0,1.0,1.0
231,Julio Jones,TEN,WR,32,10,10,48.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,1.0,49.0,0.0,0.0,0.0
232,Allen Robinson,CHI,WR,28,12,11,66.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,1.0,49.0,0.0,0.0,0.0
233,Laquon Treadwell,JAX,WR,26,12,7,51.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,1.0,49.0,0.0,0.0,0.0
234,Derrick Gore,KAN,RB,27,11,0,9.0,8.0,0.0,0.0,0.0,256.0,2.0,51.0,105.0,0.0,48.0,0.0,0.0,0.0
235,Jerry Jeudy,DEN,WR,22,10,5,56.0,38.0,0.0,0.0,0.0,3.0,0.0,2.0,467.0,0.0,47.0,0.0,1.0,0.0
236,Mack Hollins,MIA,WR,28,17,3,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,4.0,46.0,0.0,0.0,0.0
237,Travis Homer,SEA,RB,23,14,0,20.0,16.0,0.0,0.0,0.0,177.0,1.0,21.0,161.0,0.0,46.0,0.0,0.0,0.0
238,Josh Johnson,2TM,QB,35,4,1,0.0,0.0,638.0,5.0,85.0,28.0,0.0,9.0,0.0,0.0,46.0,2.0,2.0,0.0
239,Jeremy McNichols,TEN,RB,26,14,0,38.0,28.0,0.0,0.0,0.0,156.0,0.0,41.0,240.0,1.0,46.0,0.0,0.0,0.0
240,Jaret Patterson,WAS,RB,22,17,1,11.0,10.0,0.0,0.0,0.0,266.0,2.0,68.0,73.0,0.0,46.0,0.0,1.0,0.0
241,Danny Amendola,HOU,WR,36,8,0,38.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,248.0,3.0,45.0,0.0,1.0,0.0
242,Anthony Firkser,TEN,TE,26,15,1,43.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,2.0,45.0,0.0,2.0,1.0
243,Jalen Reagor,PHI,WR,22,17,13,57.0,33.0,0.0,0.0,0.0,32.0,0.0,10.0,299.0,2.0,45.0,0.0,2.0,0.0
244,Damien Williams,CHI,RB,29,12,2,23.0,16.0,0.0,0.0,0.0,164.0,2.0,40.0,103.0,1.0,45.0,0.0,0.0,0.0
245,Jeff Wilson,SFO,RB,26,9,4,8.0,7.0,0.0,0.0,0.0,294.0,2.0,79.0,31.0,0.0,45.0,0.0,1.0,0.0
246,Kyle Juszczyk*,SFO,RB,30,17,16,38.0,30.0,0.0,0.0,0.0,22.0,1.0,8.0,296.0,1.0,44.0,0.0,0.0,0.0
247,Demarcus Robinson,KAN,WR,27,17,10,41.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,3.0,44.0,0.0,0.0,0.0
248,Mike White,NYJ,QB,26,4,3,0.0,0.0,953.0,5.0,132.0,-1.0,0.0,5.0,0.0,0.0,44.0,8.0,0.0,0.0
249,Chris Conley,HOU,WR,29,16,10,37.0,22.0,0.0,0.0,0.0,3.0,0.0,1.0,323.0,2.0,43.0,0.0,1.0,1.0
250,Albert Okwuegbunam,DEN,TE,23,14,6,40.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,2.0,43.0,0.0,1.0,1.0
251,Darius Slayton,NYG,WR,24,13,5,58.0,26.0,0.0,0.0,0.0,-13.0,0.0,1.0,339.0,2.0,43.0,0.0,1.0,1.0
252,Kadarius Toney,NYG,WR,22,10,4,57.0,39.0,19.0,0.0,3.0,6.0,0.0,3.0,420.0,0.0,43.0,0.0,0.0,0.0
253,Sammy Watkins,BAL,WR,28,13,9,49.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,1.0,43.0,0.0,1.0,1.0
254,Chris Carson,SEA,RB,27,4,4,6.0,6.0,0.0,0.0,0.0,232.0,3.0,54.0,29.0,0.0,42.0,0.0,1.0,1.0
255,Sterling Shepard,NYG,WR,28,7,6,53.0,36.0,0.0,0.0,0.0,-9.0,0.0,1.0,366.0,1.0,42.0,0.0,0.0,0.0
256,James Washington,PIT,WR,25,15,2,44.0,24.0,0.0,0.0,0.0,13.0,0.0,2.0,285.0,2.0,42.0,0.0,0.0,0.0
257,Dan Arnold,2TM,TE,26,11,4,52.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,0.0,41.0,0.0,1.0,1.0
258,Harrison Bryant,CLE,TE,23,16,3,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,3.0,41.0,0.0,0.0,0.0
259,Tevin Coleman,NYJ,RB,28,11,5,16.0,11.0,0.0,0.0,0.0,356.0,0.0,84.0,49.0,0.0,41.0,0.0,0.0,0.0
260,Phillip Lindsay,2TM,RB,27,14,1,5.0,4.0,0.0,0.0,0.0,249.0,1.0,88.0,45.0,1.0,41.0,0.0,0.0,0.0
261,Colt McCoy,ARI,QB,35,8,3,0.0,0.0,740.0,3.0,99.0,37.0,0.0,22.0,0.0,0.0,41.0,1.0,4.0,1.0
262,Peyton Barber,LVR,RB,27,10,1,13.0,10.0,0.0,0.0,0.0,212.0,2.0,55.0,67.0,0.0,40.0,0.0,2.0,0.0
263,Juwan Johnson,NOR,TE,25,14,2,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,4.0,40.0,0.0,0.0,0.0
264,Calvin Ridley,ATL,WR,27,5,5,52.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,2.0,40.0,0.0,0.0,0.0
265,Damiere Byrd,CHI,WR,28,17,4,38.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,1.0,39.0,0.0,1.0,1.0
266,DeeJay Dallas,SEA,RB,23,17,0,23.0,21.0,0.0,0.0,0.0,138.0,2.0,33.0,133.0,0.0,39.0,0.0,1.0,0.0
267,Ashton Dulin,IND,WR,24,17,1,22.0,13.0,0.0,0.0,0.0,32.0,0.0,3.0,173.0,2.0,39.0,0.0,0.0,0.0
268,Donald Parham,LAC,TE,24,14,9,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,3.0,39.0,0.0,0.0,0.0
269,Ricky Seals-Jones,WAS,TE,26,13,6,49.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,2.0,39.0,0.0,0.0,0.0
270,Jonnu Smith,NWE,TE,26,16,11,45.0,28.0,0.0,0.0,0.0,40.0,0.0,9.0,294.0,1.0,39.0,0.0,1.0,0.0
271,Geoff Swaim,TEN,TE,28,16,16,40.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,3.0,39.0,0.0,0.0,0.0
272,Antoine Wesley,ARI,WR,24,15,4,32.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,3.0,39.0,0.0,0.0,0.0
273,Ryan Griffin,NYJ,TE,31,14,12,42.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,2.0,38.0,0.0,1.0,0.0
274,Adam Humphries,WAS,WR,28,17,11,62.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,0.0,38.0,0.0,0.0,0.0
275,Hayden Hurst,ATL,TE,28,13,5,31.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,3.0,38.0,0.0,3.0,1.0
276,Josiah Deguara,GNB,TE,24,16,2,33.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,2.0,37.0,0.0,0.0,0.0
277,Marquise Goodwin,CHI,WR,31,14,2,40.0,20.0,0.0,0.0,0.0,-1.0,0.0,2.0,313.0,1.0,37.0,0.0,1.0,0.0
278,Jimmy Graham,CHI,TE,35,15,6,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,3.0,37.0,0.0,0.0,0.0
279,Lil'Jordan Humphrey,NOR,WR,23,10,4,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,2.0,37.0,0.0,0.0,0.0
280,Dare Ogunbowale,JAX,RB,27,17,2,21.0,13.0,0.0,0.0,0.0,137.0,1.0,43.0,114.0,1.0,37.0,0.0,0.0,0.0
281,Giovani Bernard,TAM,RB,30,12,0,29.0,23.0,0.0,0.0,0.0,58.0,0.0,8.0,123.0,3.0,36.0,0.0,1.0,0.0
282,Matt Breida,BUF,RB,26,9,0,9.0,7.0,0.0,0.0,0.0,125.0,1.0,26.0,72.0,2.0,36.0,0.0,1.0,1.0
283,Tyler Johnson,TAM,WR,23,17,3,55.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,36.0,0.0,0.0,0.0
284,Brevin Jordan,HOU,TE,21,9,2,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,3.0,36.0,0.0,0.0,0.0
285,Durham Smythe,MIA,TE,26,17,12,41.0,34.0,0.0,0.0,0.0,3.0,0.0,2.0,357.0,0.0,36.0,0.0,0.0,0.0
286,Logan Thomas,WAS,TE,30,6,6,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,3.0,36.0,0.0,1.0,1.0
287,Adam Trautman,NOR,TE,24,13,10,43.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,2.0,36.0,0.0,1.0,1.0
288,Chris Evans,CIN,RB,24,14,1,17.0,15.0,0.0,0.0,0.0,77.0,0.0,17.0,151.0,2.0,35.0,0.0,0.0,0.0
289,Cyril Grayson,TAM,WR,28,5,3,12.0,10.0,0.0,0.0,0.0,14.0,0.0,1.0,212.0,2.0,35.0,0.0,0.0,0.0
290,Chris Moore,HOU,WR,28,12,1,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,2.0,35.0,0.0,0.0,0.0
291,MyCole Pruitt,TEN,TE,29,16,9,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,3.0,35.0,0.0,0.0,0.0
292,Chester Rogers,TEN,WR,27,16,2,43.0,30.0,0.0,0.0,0.0,9.0,0.0,1.0,301.0,1.0,35.0,0.0,4.0,1.0
293,Quintez Cephus,DET,WR,23,5,3,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,2.0,34.0,0.0,0.0,0.0
294,Rashard Higgins,CLE,WR,27,15,4,47.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,1.0,34.0,0.0,0.0,0.0
295,Carlos Hyde,JAX,RB,31,12,2,21.0,12.0,0.0,0.0,0.0,253.0,1.0,72.0,65.0,0.0,34.0,0.0,2.0,2.0
296,Gardner Minshew II,PHI,QB,25,4,2,0.0,0.0,439.0,4.0,60.0,21.0,0.0,9.0,0.0,0.0,34.0,1.0,1.0,0.0
297,Kyle Rudolph,NYG,TE,32,16,13,39.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,1.0,34.0,0.0,0.0,0.0
298,Cam Sims,WAS,WR,25,14,3,23.0,15.0,0.0,0.0,0.0,7.0,0.0,1.0,211.0,2.0,34.0,0.0,0.0,0.0
299,Le'Veon Bell,2TM,RB,29,8,0,7.0,5.0,0.0,0.0,0.0,101.0,2.0,39.0,30.0,1.0,33.0,0.0,0.0,0.0
300,Demetric Felton,CLE,RB,23,16,2,21.0,18.0,0.0,0.0,0.0,24.0,0.0,7.0,181.0,2.0,33.0,0.0,4.0,0.0
301,Isaiah McKenzie,BUF,WR,26,15,2,26.0,20.0,0.0,0.0,0.0,47.0,1.0,9.0,178.0,1.0,33.0,0.0,2.0,1.0
302,Tommy Tremble,CAR,TE,21,16,11,35.0,20.0,0.0,0.0,0.0,11.0,1.0,3.0,180.0,1.0,33.0,0.0,0.0,0.0
303,Malik Turner,DAL,WR,25,14,0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,3.0,33.0,0.0,0.0,0.0
304,Ke'Shawn Vaughn,TAM,RB,24,12,1,8.0,4.0,0.0,0.0,0.0,180.0,2.0,36.0,26.0,0.0,33.0,0.0,0.0,0.0
305,Ty'Son Williams,BAL,RB,25,13,3,12.0,9.0,0.0,0.0,0.0,185.0,1.0,35.0,84.0,0.0,33.0,0.0,1.0,0.0
306,Robert Tonyan,GNB,TE,27,8,5,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,2.0,32.0,0.0,0.0,0.0
307,John Bates,WAS,TE,24,17,8,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,1.0,31.0,0.0,1.0,0.0
308,Mike Glennon,NYG,QB,32,6,4,0.0,0.0,790.0,4.0,167.0,33.0,1.0,7.0,0.0,0.0,31.0,10.0,6.0,3.0
309,Brandon Zylstra,CAR,WR,28,13,3,25.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,250.0,1.0,31.0,0.0,0.0,0.0
310,John Ross,NYG,WR,26,10,1,20.0,11.0,0.0,0.0,0.0,16.0,0.0,1.0,224.0,1.0,30.0,0.0,1.0,0.0
311,Will Dissly,SEA,TE,25,15,14,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0,29.0,0.0,1.0,0.0
312,Jakeem Grant*,2TM,WR,29,15,0,17.0,11.0,0.0,0.0,0.0,33.0,0.0,5.0,132.0,2.0,29.0,0.0,3.0,3.0
313,Case Keenum,CLE,QB,33,7,2,0.0,0.0,462.0,3.0,72.0,22.0,0.0,12.0,0.0,0.0,29.0,1.0,1.0,1.0
314,Isaiah Ford,MIA,WR,25,13,2,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,2.0,28.0,0.0,0.0,0.0
315,Craig Reynolds,DET,RB,25,5,2,8.0,7.0,0.0,0.0,0.0,230.0,0.0,55.0,52.0,0.0,28.0,0.0,0.0,0.0
316,Greg Ward,PHI,WR,26,17,0,11.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,95.0,3.0,28.0,0.0,0.0,0.0
317,Salvon Ahmed,MIA,RB,23,12,0,19.0,12.0,0.0,0.0,0.0,149.0,0.0,54.0,117.0,0.0,27.0,0.0,0.0,0.0
318,Tavon Austin,JAX,WR,31,13,3,37.0,24.0,0.0,0.0,0.0,21.0,0.0,3.0,213.0,1.0,27.0,0.0,1.0,1.0
319,DJ Chark,JAX,WR,25,4,4,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,2.0,27.0,0.0,0.0,0.0
320,Jamycal Hasty,SFO,RB,25,11,0,29.0,23.0,0.0,0.0,0.0,68.0,1.0,16.0,157.0,0.0,27.0,0.0,2.0,1.0
321,Ray-Ray McCloud,PIT,WR,25,16,5,66.0,39.0,0.0,0.0,0.0,15.0,0.0,2.0,277.0,0.0,27.0,0.0,4.0,1.0
322,Elijhaa Penny,NYG,RB,28,17,3,13.0,9.0,0.0,0.0,0.0,99.0,1.0,24.0,30.0,1.0,27.0,0.0,0.0,0.0
323,James O'Shaughnessy,JAX,TE,29,7,6,34.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,26.0,0.0,0.0,0.0
324,Royce Freeman,2TM,RB,25,15,0,16.0,10.0,0.0,0.0,0.0,169.0,0.0,56.0,77.0,0.0,25.0,0.0,0.0,0.0
325,Trey Sermon,SFO,RB,22,9,2,4.0,3.0,0.0,0.0,0.0,167.0,1.0,41.0,26.0,0.0,25.0,0.0,0.0,0.0
326,Maxx Williams,ARI,TE,27,5,5,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,1.0,25.0,0.0,0.0,0.0
327,Tim Boyle,DET,QB,27,5,3,0.0,0.0,526.0,3.0,94.0,13.0,0.0,2.0,0.0,0.0,24.0,6.0,1.0,0.0
328,Joe Flacco,NYJ,QB,36,2,1,0.0,0.0,338.0,3.0,42.0,3.0,0.0,2.0,0.0,0.0,24.0,0.0,1.0,1.0
329,Kendall Hinton,DEN,WR,24,16,1,23.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,175.0,1.0,24.0,0.0,0.0,0.0
330,Cooper Rush,DAL,QB,28,5,1,0.0,0.0,422.0,3.0,47.0,-8.0,0.0,9.0,0.0,0.0,24.0,1.0,1.0,1.0
331,Ihmir Smith-Marsette,MIN,WR,22,8,1,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,2.0,24.0,0.0,0.0,0.0
332,Brock Wright,DET,TE,23,10,5,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,2.0,24.0,0.0,0.0,0.0
333,Stephen Anderson,LAC,TE,28,17,4,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,1.0,23.0,0.0,0.0,0.0
334,Corey Clement,DAL,RB,27,17,0,7.0,6.0,0.0,0.0,0.0,140.0,0.0,33.0,29.0,1.0,23.0,0.0,0.0,0.0
335,Tyler Kroft,NYJ,TE,29,9,6,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,1.0,23.0,0.0,0.0,0.0
336,Jerick McKinnon,KAN,RB,29,13,0,20.0,13.0,0.0,0.0,0.0,62.0,0.0,12.0,107.0,1.0,23.0,0.0,0.0,0.0
337,Adrian Peterson,2TM,RB,36,4,3,4.0,4.0,0.0,0.0,0.0,98.0,2.0,38.0,8.0,0.0,23.0,0.0,1.0,0.0
338,Anthony Schwartz,CLE,WR,21,14,2,23.0,10.0,0.0,0.0,0.0,39.0,0.0,6.0,135.0,1.0,23.0,0.0,0.0,0.0
339,Tajae Sharpe,ATL,WR,27,15,7,37.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,23.0,0.0,0.0,0.0
340,Albert Wilson,MIA,WR,29,14,5,39.0,25.0,0.0,0.0,1.0,17.0,0.0,4.0,213.0,0.0,23.0,0.0,0.0,0.0
341,Eno Benjamin,ARI,RB,22,9,0,7.0,6.0,0.0,0.0,0.0,118.0,1.0,34.0,42.0,0.0,22.0,0.0,0.0,0.0
342,Parris Campbell,IND,WR,24,6,3,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,1.0,22.0,0.0,0.0,0.0
343,Blake Jarwin,DAL,TE,27,8,5,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,2.0,22.0,0.0,0.0,0.0
